course_code,course_name,credits,grade,semester
LAW200,Legal Environment of Business,3,F,Fall2022
MIS207,Management Information Systems,3,D,Fall2022
BUS135,Business Mathematics,3,D+,Fall2022
ECO104,Intro to Macroeconomics,3,C,Fall2022
ACT201,Intro to Financial Accounting,3,C-,Spring2023
ACT410,Financial Statement Analysis,3,F,Spring2023
FIN254,Intro to Financial Management,3,F,Summer2023
ENG103,Intermediate Composition,3,W,Summer2023
INB372,International Business,3,D+,Fall2023
PHI401,Ethics / Philosophy,3,W,Fall2023
HIS101,Bangladesh History,3,C,Fall2023
POL101,Intro to Political Science,3,D,Fall2023
ACT310,Intermediate Accounting I,3,D+,Fall2023
FIN254,Intro to Financial Management,3,C+,Spring2024
LAW200,Legal Environment of Business,3,D+,Fall2024
