course_code,course_name,credits,grade,semester
FIN254,Intro to Financial Management,3,D,Fall2021
HIS102,World Civilization,3,D+,Fall2021
HIS103,History of South Asia,3,D,Fall2021
ANT101,Anthropology,3,F,Fall2021
PBH101,Public Health,3,D+,Spring2022
MGT351,Human Resource Management,3,F,Summer2022
INB400,International Trade and Finance,3,C-,Summer2022
INB495,Special Topics in INB,3,W,Fall2022
MIS107,Introduction to Computers,3,D,Spring2023
ACT201,Intro to Financial Accounting,3,D,Spring2023
MKT382,International Marketing,3,F,Spring2023
MGT368,Entrepreneurship,3,F,Summer2023
INB480,Global Business Strategy,3,C-,Summer2023
LAW200,Legal Environment of Business,3,C,Fall2023
ACT202,Intro to Managerial Accounting,3,W,Fall2023
MIS107,Introduction to Computers,3,F,Fall2023
MGT489,Strategic Management,3,F,Fall2023
BUS251,Business Communication,3,D+,Spring2024
INB490,Cross-Cultural Management,3,C-,Spring2024
INB372,International Business,3,D,Summer2024
INB372,International Business,3,F,Fall2024
ACT201,Intro to Financial Accounting,3,F,Fall2024
MGT489,Strategic Management,3,F,Fall2024
PBH101L,Public Health Lab,1,W,Fall2024
