course_code,course_name,credits,grade,semester
EEE111,Analog Electronics I,3,C+,Fall2021
CSE331L,Microprocessor Interfacing Lab,1,B+,Fall2021
CSE231L,Digital Logic Design Lab,1,B-,Fall2021
CSE215,Programming Language II,3,C,Fall2021
EEE111L,Analog Electronics I Lab,1,C,Spring2022
CSE215L,Programming Language II Lab,1,B-,Spring2022
EEE141L,Electrical Circuits I Lab,1,B-,Spring2022
ACT310,Intermediate Accounting I,3,D+,Summer2022
ENG115,English Literature,3,W,Summer2022
ACT430,Accounting Information Systems,3,B-,Summer2022
INB372,International Business,3,C,Fall2022
BUS173,Applied Statistics,3,F,Fall2022
LAW200,Legal Environment of Business,3,C,Fall2022
FIN254,Intro to Financial Management,3,C+,Fall2022
MKT202,Introduction to Marketing,3,D+,Spring2023
BUS135,Business Mathematics,3,A,Spring2023
ECO101,Intro to Microeconomics,3,B,Spring2023
HIS102,World Civilization,3,B+,Spring2023
PHI401,Ethics / Philosophy,3,C+,Summer2023
ACT201,Intro to Financial Accounting,3,C+,Summer2023
