course_code,course_name,credits,grade,semester
BUS135,Business Mathematics,3,F,Summer2019
BUS173,Applied Statistics,3,B,Summer2019
CHN101,Chinese Language,3,C-,Summer2019
MKT344,Consumer Behaviour,3,B-,Summer2019
MKT460,Strategic Marketing,3,B+,Summer2019
MIS107,Introduction to Computers,3,A,Fall2019
MGT489,Strategic Management,3,B+,Fall2019
ECO101,Intro to Microeconomics,3,B-,Fall2019
PAD201,Public Administration,3,W,Fall2019
ANT101,Anthropology,3,C-,Fall2019
INB372,International Business,3,B+,Spring2020
MGT368,Entrepreneurship,3,C,Spring2020
MIS207,Management Information Systems,3,F,Spring2020
MGT314,Production Management,3,B,Spring2020
PHI401,Ethics / Philosophy,3,B,Spring2020
HIS102,World Civilization,3,B+,Spring2020
ENG105,Advanced Composition,3,D+,Summer2020
ACT201,Intro to Financial Accounting,3,B+,Summer2020
HIS205,Modern History,3,A,Summer2020
ENV107,Environmental Science,3,B-,Summer2020
MKT337,Promotional Management,3,C-,Summer2020
MGT351,Human Resource Management,3,D,Fall2020
FIN254,Intro to Financial Management,3,C-,Fall2020
BUS251,Business Communication,3,W,Fall2020
ACT202,Intro to Managerial Accounting,3,C-,Fall2020
MGT212,Principles of Management,3,C-,Fall2020
MKT470,Marketing Research,3,B-,Fall2020
MKT382,International Marketing,3,C,Fall2020
ENG103,Intermediate Composition,3,A,Spring2021
LAW200,Legal Environment of Business,3,C+,Spring2021
MKT202,Introduction to Marketing,3,B-,Spring2021
PSY101,Intro to Psychology,3,B,Spring2021
ENV107L,Environmental Science Lab,1,C,Spring2021
MKT450,Marketing Channels,3,B,Spring2021
BUS498,Internship,4,D,Spring2021
