course_code,course_name,credits,grade,semester
MIS207,Management Information Systems,3,A-,Fall2021
BUS173,Applied Statistics,3,C+,Fall2021
HIS101,Bangladesh History,3,B,Fall2021
GEO205,Geography,3,A,Fall2021
ENV107,Environmental Science,3,A,Fall2021
BIO103,Biology I,3,B+,Fall2021
MGT314,Production Management,3,B+,Spring2022
MGT368,Entrepreneurship,3,B-,Summer2022
PHI401,Ethics / Philosophy,3,B-,Summer2022
ENG103,Intermediate Composition,3,C,Summer2022
MGT489,Strategic Management,3,C,Summer2022
MGT212,Principles of Management,3,B+,Summer2022
SCM320,Procurement and Inventory,3,B+,Summer2022
MGT360,Global Supply Chain,3,B,Summer2022
BUS251,Business Communication,3,B,Fall2022
ECO101,Intro to Microeconomics,3,C+,Fall2022
SCM310,Supply Chain Management,3,C-,Fall2022
BUS172,Introduction to Statistics,3,B,Spring2023
ACT202,Intro to Managerial Accounting,3,B,Spring2023
HIS102,World Civilization,3,B+,Spring2023
BIO103L,Biology I Lab,1,B,Spring2023
LAW200,Legal Environment of Business,3,B,Summer2023
FIN254,Intro to Financial Management,3,A-,Summer2023
ENG115,English Literature,3,A,Summer2023
POL101,Intro to Political Science,3,C+,Summer2023
MIS107,Introduction to Computers,3,C,Fall2023
ACT201,Intro to Financial Accounting,3,B,Fall2023
ENG105,Advanced Composition,3,B-,Fall2023
MKT202,Introduction to Marketing,3,A-,Fall2023
BUS135,Business Mathematics,3,B,Spring2024
INB372,International Business,3,A-,Spring2024
SCM450,Supply Chain Analytics,3,B,Spring2024
MGT490,Project Management,3,C,Spring2024
BUS498,Internship,4,B+,Spring2024
