course_code,course_name,credits,grade,semester
MAT116,Pre-Calculus,3,A-,Fall2022
EEE111,Analog Electronics I,3,C+,Fall2022
MAT240,Probability & Statistics,3,D+,Fall2022
CSE323,Operating Systems Design,3,C,Fall2022
CSE231L,Digital Logic Design Lab,1,D+,Fall2022
ENV203,Environmental Studies,3,B+,Fall2022
CSE499A,Senior Capstone Design I,2,B-,Spring2023
CSE311L,Database Management Systems Lab,1,W,Spring2023
CSE215,Programming Language II,3,C-,Spring2023
CSE225L,Data Structures & Algorithms Lab,1,A-,Spring2023
CSE499B,Senior Capstone Design II,2,B,Spring2023
CSE332,Computer Organization & Architecture,3,B+,Spring2023
CSE327,Software Engineering,3,B,Spring2023
CSE215L,Programming Language II Lab,1,A,Spring2023
CSE173,Discrete Mathematics,3,A-,Summer2023
CSE225,Data Structures & Algorithms,3,W,Summer2023
CSE115L,Programming Language I Lab,1,C-,Summer2023
CSE101,Introduction to Python Programming,3,B-,Summer2023
CHE101L,Chemistry I Lab,1,D+,Fall2023
BIO103L,Biology I Lab,1,A,Fall2023
MAT120,Calculus I,3,A,Fall2023
MAT125,Linear Algebra,3,D+,Fall2023
EEE111L,Analog Electronics I Lab,1,B,Fall2023
HIS102,World Civilization,3,C+,Fall2023
MAT250,Calculus III,3,C-,Spring2024
