course_code,course_name,credits,grade,semester
MAT116,Pre-Calculus,3,A-,Summer2019
CSE311,Database Management Systems,3,A-,Summer2019
EEE141,Electrical Circuits I,3,A-,Summer2019
CSE299,Junior Design Project,1,B+,Fall2019
CSE425,Concepts of Programming Languages,3,F,Fall2019
EEE111,Analog Electronics I,3,C+,Fall2019
CSE311L,Database Management Systems Lab,1,C+,Spring2020
EEE111L,Analog Electronics I Lab,1,B-,Spring2020
CSE331L,Microprocessor Interfacing Lab,1,D+,Spring2020
MGT212,Principles of Management,3,B-,Summer2020
ACT201,Intro to Financial Accounting,3,B+,Summer2020
MGT314,Production Management,3,C+,Summer2020
CHE101,Chemistry I,3,B-,Fall2020
BUS251,Business Communication,3,A-,Fall2020
CHE101L,Chemistry I Lab,1,C,Fall2020
HIS103,History of South Asia,3,F,Spring2021
HRM340,Training and Development,3,B,Summer2021
HRM360,Planning and Staffing,3,C,Summer2021
FIN254,Intro to Financial Management,3,C+,Summer2021
POL104,Political Science,3,A,Summer2021
MIS207,Management Information Systems,3,B+,Summer2021
MKT202,Introduction to Marketing,3,A,Fall2021
PHY107,Physics I,3,B-,Fall2021
BIO103,Biology I,3,W,Fall2021
ECO104,Intro to Macroeconomics,3,F,Fall2021
LAW200,Legal Environment of Business,3,B+,Spring2022
BUS172,Introduction to Statistics,3,B-,Spring2022
BEN205,Bengali Literature,3,B,Spring2022
HIS101,Bangladesh History,3,B,Summer2022
ECO101,Intro to Microeconomics,3,D,Summer2022
