course_code,course_name,credits,grade,semester
BUS251,Business Communication,3,T,Summer2023
BUS173,Applied Statistics,3,B+,Summer2023
ENV107,Environmental Science,3,C,Summer2023
MKT337,Promotional Management,3,T,Summer2023
MKT465,Brand Management,3,T,Summer2023
ENG103,Intermediate Composition,3,B,Fall2023
ENG105,Advanced Composition,3,C+,Fall2023
LAW200,Legal Environment of Business,3,T,Fall2023
BUS172,Introduction to Statistics,3,T,Fall2023
HIS102,World Civilization,3,C,Fall2023
HIS103,History of South Asia,3,B+,Fall2023
CHE101L,Chemistry I Lab,1,A-,Fall2023
MGT351,Human Resource Management,3,C+,Spring2024
MGT314,Production Management,3,B,Spring2024
MGT368,Entrepreneurship,3,A-,Spring2024
MIS107,Introduction to Computers,3,A,Spring2024
BUS135,Business Mathematics,3,T,Spring2024
ECO101,Intro to Microeconomics,3,C+,Spring2024
INB372,International Business,3,B+,Spring2024
MIS207,Management Information Systems,3,A-,Spring2024
CHN101,Chinese Language,3,T,Spring2024
CHE101,Chemistry I,3,B,Spring2024
PSY101,Intro to Psychology,3,T,Spring2024
