course_code,course_name,credits,grade,semester
MAT116,Pre-Calculus,3,A-,Summer2019
CSE299,Junior Design Project,1,A-,Summer2019
CSE173,Discrete Mathematics,3,B,Fall2019
CSE331,Microprocessor Interfacing,3,B+,Fall2019
EEE111L,Analog Electronics I Lab,1,C,Fall2019
EEE111,Analog Electronics I,3,C,Fall2019
CSE231L,Digital Logic Design Lab,1,C-,Spring2020
CSE215L,Programming Language II Lab,1,D,Spring2020
CSE332,Computer Organization & Architecture,3,A,Spring2020
BUS172,Introduction to Statistics,3,B+,Summer2020
HIS101,Bangladesh History,3,D,Summer2020
MGT368,Entrepreneurship,3,C,Summer2020
MKT202,Introduction to Marketing,3,F,Summer2020
MIS107,Introduction to Computers,3,A,Summer2020
ECO104,Intro to Macroeconomics,3,A-,Fall2020
POL101,Intro to Political Science,3,A,Fall2020
ECO348,Mathematical Economics,3,A,Fall2020
PHI401,Ethics / Philosophy,3,D,Spring2021
ECO201,Intermediate Microeconomics,3,B+,Spring2021
MGT212,Principles of Management,3,D,Spring2021
PBH101,Public Health,3,C+,Spring2021
ECO415,Public Finance,3,D,Summer2021
BUS173,Applied Statistics,3,C+,Summer2021
CHN101,Chinese Language,3,B-,Summer2021
ECO204,Intermediate Macroeconomics,3,C,Summer2021
HIS102,World Civilization,3,B,Fall2021
ECO101,Intro to Microeconomics,3,B,Fall2021
PSY101,Intro to Psychology,3,F,Fall2021
ACT201,Intro to Financial Accounting,3,C,Fall2021
ENG105,Advanced Composition,3,B-,Spring2022
ENV107,Environmental Science,3,A-,Spring2022
SOC101,Intro to Sociology,3,F,Spring2022
