course_code,course_name,credits,grade,semester
MAT116,Pre-Calculus,3,A-,Fall2022
ENG105,Advanced Composition,3,W,Fall2022
BIO103L,Biology I Lab,1,W,Fall2022
EEE141L,Electrical Circuits I Lab,1,F,Spring2023
CSE173,Discrete Mathematics,3,D,Spring2023
PHY107,Physics I,3,F,Spring2023
CSE299,Junior Design Project,1,D+,Spring2023
HIS102,World Civilization,3,W,Spring2023
CSE215,Programming Language II,3,D,Spring2023
CSE115,Programming Language I,3,D,Spring2023
CSE332,Computer Organization & Architecture,3,D,Spring2023
ECO101,Intro to Microeconomics,3,F,Spring2023
PHY107L,Physics I Lab,1,C,Summer2023
CSE115L,Programming Language I Lab,1,C-,Summer2023
CSE215L,Programming Language II Lab,1,D,Fall2023
PHI104,Introduction to Ethics,3,D+,Fall2023
CSE215,Programming Language II,3,D,Fall2023
CSE225L,Data Structures & Algorithms Lab,1,D,Fall2023
CSE231,Digital Logic Design,3,C-,Fall2023
CSE225,Data Structures & Algorithms,3,C,Fall2023
EEE141L,Electrical Circuits I Lab,1,D+,Spring2024
PHY107,Physics I,3,D+,Spring2024
CSE226,Fundamentals of Vibe Coding,3,F,Spring2024
CSE115,Programming Language I,3,C+,Spring2024
CSE327,Software Engineering,3,C-,Spring2024
PHY108,Physics II,3,F,Spring2024
CSE331,Microprocessor Interfacing,3,W,Summer2024
CSE101,Introduction to Python Programming,3,C,Summer2024
HIS101,Bangladesh History,3,D,Summer2024
POL101,Intro to Political Science,3,D,Summer2024
CSE215L,Programming Language II Lab,1,C+,Fall2024
HIS101,Bangladesh History,3,C+,Fall2024
