course_code,course_name,credits,grade,semester
ENG103,Intermediate Composition,3,A-,Fall2021
BUS251,Business Communication,3,A,Fall2021
HIS103,History of South Asia,3,B,Fall2021
PAD201,Public Administration,3,A,Fall2021
MGT212,Principles of Management,3,A-,Spring2022
PSY101,Intro to Psychology,3,A,Spring2022
ENV107L,Environmental Science Lab,1,B+,Spring2022
BUS135,Business Mathematics,3,B+,Summer2022
MGT489,Strategic Management,3,B+,Summer2022
MGT351,Human Resource Management,3,A,Summer2022
MKT202,Introduction to Marketing,3,A-,Summer2022
MIS107,Introduction to Computers,3,A-,Summer2022
CHN101,Chinese Language,3,A-,Summer2022
PHY107,Physics I,3,A-,Summer2022
ENV107,Environmental Science,3,A-,Summer2022
MGT368,Entrepreneurship,3,B-,Fall2022
PHI401,Ethics / Philosophy,3,A-,Fall2022
MKT465,Brand Management,3,B,Fall2022
BUS172,Introduction to Statistics,3,B+,Spring2023
MKT460,Strategic Marketing,3,A-,Spring2023
ECO101,Intro to Microeconomics,3,A-,Summer2023
ACT201,Intro to Financial Accounting,3,B+,Summer2023
LAW200,Legal Environment of Business,3,B+,Summer2023
INB372,International Business,3,C+,Summer2023
SOC101,Intro to Sociology,3,B+,Summer2023
MKT337,Promotional Management,3,B+,Summer2023
MKT330,Retail Management,3,A,Summer2023
MIS207,Management Information Systems,3,A,Fall2023
ACT202,Intro to Managerial Accounting,3,A-,Fall2023
MGT314,Production Management,3,A,Fall2023
FIN254,Intro to Financial Management,3,B+,Fall2023
BUS173,Applied Statistics,3,B,Fall2023
HIS101,Bangladesh History,3,B+,Fall2023
ENG105,Advanced Composition,3,B+,Spring2024
ECO104,Intro to Macroeconomics,3,B,Spring2024
MKT344,Consumer Behaviour,3,A,Spring2024
MKT470,Marketing Research,3,B-,Spring2024
BUS498,Internship,4,A,Spring2024
