course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,A-,Summer2022
BUS172,Introduction to Statistics,3,T,Summer2022
GEO205,Geography,3,A-,Summer2022
PBH101,Public Health,3,A,Summer2022
ACT310,Intermediate Accounting I,3,C+,Summer2022
MIS107,Introduction to Computers,3,T,Fall2022
BUS135,Business Mathematics,3,A,Fall2022
BUS251,Business Communication,3,C+,Fall2022
PHI401,Ethics / Philosophy,3,T,Fall2022
PAD201,Public Administration,3,B,Fall2022
CHE101,Chemistry I,3,B+,Fall2022
PBH101L,Public Health Lab,1,B+,Fall2022
ACT360,Advanced Managerial Accounting,3,T,Fall2022
MGT314,Production Management,3,C,Spring2023
BUS173,Applied Statistics,3,B+,Spring2023
ECO101,Intro to Microeconomics,3,T,Spring2023
LAW200,Legal Environment of Business,3,B,Spring2023
MGT489,Strategic Management,3,B,Spring2023
MGT368,Entrepreneurship,3,B,Spring2023
BEN205,Bengali Literature,3,B,Spring2023
HIS205,Modern History,3,T,Spring2023
PHY107,Physics I,3,T,Spring2023
ACT320,Intermediate Accounting II,3,T,Spring2023
ACT380,Audit and Assurance,3,T,Spring2023
ACT410,Financial Statement Analysis,3,B,Spring2023
