course_code,course_name,credits,grade,semester
MAT116,Pre-Calculus,3,A-,Spring2020
CSE331L,Microprocessor Interfacing Lab,1,D+,Spring2020
CSE311L,Database Management Systems Lab,1,D+,Spring2020
PHY107,Physics I,3,D+,Summer2020
CSE311,Database Management Systems,3,C-,Summer2020
CSE231,Digital Logic Design,3,D,Summer2020
PHY108L,Physics II Lab,1,F,Spring2021
EEE452,Engineering Economics,3,C-,Summer2021
CSE373,Design & Analysis of Algorithms,3,F,Summer2021
CHE101,Chemistry I,3,F,Summer2021
CSE215L,Programming Language II Lab,1,D,Fall2021
CSE231L,Digital Logic Design Lab,1,C-,Fall2021
HIS101,Bangladesh History,3,D,Fall2021
BIO103L,Biology I Lab,1,F,Fall2021
ENG103,Intermediate Composition,3,D,Spring2022
EEE141,Electrical Circuits I,3,C-,Spring2022
MAT240,Probability & Statistics,3,F,Spring2022
BIO103,Biology I,3,C-,Spring2022
CSE215L,Programming Language II Lab,1,B,Summer2022
EEE111L,Analog Electronics I Lab,1,D+,Summer2022
CSE115,Programming Language I,3,F,Summer2022
CSE425,Concepts of Programming Languages,3,C-,Summer2022
CSE499B,Senior Capstone Design II,2,F,Fall2022
ENG103,Intermediate Composition,3,D,Fall2022
MAT361,Differential Equations,3,C-,Fall2022
CSE226,Fundamentals of Vibe Coding,3,D,Fall2022
PHY108,Physics II,3,F,Fall2022
MAT120,Calculus I,3,F,Fall2022
ENG111,Public Speaking,3,D,Fall2022
CSE323,Operating Systems Design,3,F,Fall2022
CSE299,Junior Design Project,1,F,Spring2023
MAT250,Calculus III,3,I,Spring2023
MAT240,Probability & Statistics,3,B-,Fall2023
CSE231,Digital Logic Design,3,C,Fall2023
CSE299,Junior Design Project,1,B-,Spring2024
CSE323,Operating Systems Design,3,B,Spring2024
HIS101,Bangladesh History,3,C,Summer2024
BIO103L,Biology I Lab,1,D,Summer2024
CHE101,Chemistry I,3,D,Summer2024
CSE499B,Senior Capstone Design II,2,D+,Fall2024
