course_code,course_name,credits,grade,semester
CSE231,Digital Logic Design,3,D,Spring2020
CSE331L,Microprocessor Interfacing Lab,1,B,Spring2020
CSE173,Discrete Mathematics,3,B+,Summer2020
EEE111L,Analog Electronics I Lab,1,B+,Summer2020
CSE323,Operating Systems Design,3,D,Fall2020
CSE215L,Programming Language II Lab,1,B+,Fall2020
CSE331,Microprocessor Interfacing,3,D,Fall2020
CSE311,Database Management Systems,3,D,Fall2020
BIO103L,Biology I Lab,1,C-,Spring2021
MGT368,Entrepreneurship,3,C+,Spring2021
BUS251,Business Communication,3,C+,Summer2021
MGT212,Principles of Management,3,A-,Summer2021
SCM310,Supply Chain Management,3,C,Fall2021
LAW200,Legal Environment of Business,3,B-,Fall2021
ENG105,Advanced Composition,3,B-,Fall2021
MGT351,Human Resource Management,3,D,Fall2021
ENG103,Intermediate Composition,3,A-,Fall2021
FIN254,Intro to Financial Management,3,D+,Fall2022
PBH101,Public Health,3,C+,Fall2022
ECO104,Intro to Macroeconomics,3,C+,Spring2023
MIS107,Introduction to Computers,3,F,Spring2023
BIO103,Biology I,3,C-,Spring2023
POL101,Intro to Political Science,3,B+,Spring2023
INB372,International Business,3,B,Summer2023
MGT360,Global Supply Chain,3,A,Summer2023
