course_code,course_name,credits,grade,semester
ECO104,Intro to Macroeconomics,3,D,Fall2021
MGT351,Human Resource Management,3,D,Fall2021
MGT368,Entrepreneurship,3,F,Fall2021
BUS251,Business Communication,3,D,Fall2021
ACT201,Intro to Financial Accounting,3,D,Fall2021
PHI401,Ethics / Philosophy,3,D+,Fall2021
BUS135,Business Mathematics,3,F,Fall2021
HIS205,Modern History,3,F,Fall2021
HIS102,World Civilization,3,D+,Fall2021
CHE101,Chemistry I,3,C-,Fall2021
MIS207,Management Information Systems,3,C-,Spring2022
ENG103,Intermediate Composition,3,F,Spring2022
ECO104,Intro to Macroeconomics,3,F,Spring2022
LAW200,Legal Environment of Business,3,D+,Spring2022
MKT202,Introduction to Marketing,3,F,Spring2022
MIS107,Introduction to Computers,3,D,Spring2022
ECO101,Intro to Microeconomics,3,D+,Spring2022
BEN205,Bengali Literature,3,C-,Spring2022
GEO205,Geography,3,D,Spring2022
MKT337,Promotional Management,3,F,Spring2022
MKT202,Introduction to Marketing,3,B,Summer2022
MGT368,Entrepreneurship,3,F,Summer2023
BUS135,Business Mathematics,3,C,Fall2023
ENG103,Intermediate Composition,3,F,Spring2024
MGT351,Human Resource Management,3,C+,Spring2024
BUS251,Business Communication,3,C+,Spring2024
ACT201,Intro to Financial Accounting,3,F,Fall2024
