course_code,course_name,credits,grade,semester
BUS135,Business Mathematics,3,B+,Spring2022
LAW200,Legal Environment of Business,3,C+,Spring2022
ENG103,Intermediate Composition,3,B+,Spring2022
MIS107,Introduction to Computers,3,C+,Spring2022
MKT202,Introduction to Marketing,3,C-,Spring2022
BEN205,Bengali Literature,3,B-,Spring2022
HIS102,World Civilization,3,A-,Spring2022
POL101,Intro to Political Science,3,B,Spring2022
FIN254,Intro to Financial Management,3,A,Summer2022
MGT314,Production Management,3,B+,Summer2022
ECO204,Intermediate Macroeconomics,3,C,Summer2022
INB372,International Business,3,D+,Fall2022
MGT212,Principles of Management,3,B-,Fall2022
MGT351,Human Resource Management,3,B-,Spring2023
MGT489,Strategic Management,3,B-,Spring2023
BUS172,Introduction to Statistics,3,C+,Spring2023
MIS207,Management Information Systems,3,A-,Spring2023
ENV107,Environmental Science,3,B,Spring2023
ECO101,Intro to Microeconomics,3,C+,Summer2023
ACT201,Intro to Financial Accounting,3,D,Summer2023
ANT101,Anthropology,3,C+,Summer2023
ECO301,Monetary Economics,3,B,Summer2023
ECO104,Intro to Macroeconomics,3,C,Fall2023
BUS173,Applied Statistics,3,D+,Fall2023
ECO348,Mathematical Economics,3,B-,Fall2023
ECO460,International Trade,3,B-,Fall2023
ENG105,Advanced Composition,3,W,Spring2024
PBH101,Public Health,3,A,Spring2024
ACT202,Intro to Managerial Accounting,3,C-,Summer2024
PSY101L,Psychology Lab,1,C+,Summer2024
ECO201,Intermediate Microeconomics,3,C+,Summer2024
MGT368,Entrepreneurship,3,B,Fall2024
BUS251,Business Communication,3,D,Fall2024
HIS205,Modern History,3,A,Fall2024
PSY101,Intro to Psychology,3,D,Fall2024
ECO328,Econometrics,3,C-,Fall2024
BUS498,Internship,4,C+,Fall2024
