course_code,course_name,credits,grade,semester
BIO103L,Biology I Lab,1,B+,Spring2019
PHI104,Introduction to Ethics,3,A-,Spring2019
PHY108,Physics II,3,T,Spring2019
MAT125,Linear Algebra,3,B+,Spring2019
CSE231L,Digital Logic Design Lab,1,C,Spring2019
MAT361,Differential Equations,3,C,Spring2019
CSE215,Programming Language II,3,C,Spring2019
CSE299,Junior Design Project,1,T,Summer2019
EEE141,Electrical Circuits I,3,C+,Summer2019
CSE215L,Programming Language II Lab,1,A-,Summer2019
CSE373,Design & Analysis of Algorithms,3,T,Summer2019
CSE331,Microprocessor Interfacing,3,B,Summer2019
POL101,Intro to Political Science,3,A-,Summer2019
CSE425,Concepts of Programming Languages,3,B,Fall2019
ENG105,Advanced Composition,3,T,Fall2019
BIO103,Biology I,3,A,Fall2019
EEE111,Analog Electronics I,3,A,Fall2019
CSE332,Computer Organization & Architecture,3,B,Spring2020
CSE331L,Microprocessor Interfacing Lab,1,T,Spring2020
CHE101,Chemistry I,3,C,Spring2020
EEE141L,Electrical Circuits I Lab,1,A-,Spring2020
HIS102,World Civilization,3,T,Spring2020
CSE311,Database Management Systems,3,B+,Summer2020
CSE226,Fundamentals of Vibe Coding,3,C,Summer2020
CSE327,Software Engineering,3,B+,Summer2020
CHE101L,Chemistry I Lab,1,B+,Summer2020
CSE115,Programming Language I,3,A,Summer2020
ECO101,Intro to Microeconomics,3,T,Summer2020
PHY108L,Physics II Lab,1,B+,Fall2020
ENG103,Intermediate Composition,3,A,Fall2020
CSE499A,Senior Capstone Design I,2,C+,Fall2020
CSE311L,Database Management Systems Lab,1,A-,Fall2020
CSE225L,Data Structures & Algorithms Lab,1,T,Fall2020
ENG111,Public Speaking,3,A-,Fall2020
CSE499B,Senior Capstone Design II,2,B+,Fall2020
MAT130,Calculus II,3,A-,Fall2020
CSE231,Digital Logic Design,3,B,Fall2020
CSE173,Discrete Mathematics,3,B,Fall2020
