course_code,course_name,credits,grade,semester
PHI401,Ethics / Philosophy,3,C+,Fall2023
BUS173,Applied Statistics,3,B,Fall2023
LAW200,Legal Environment of Business,3,A-,Fall2023
MGT314,Production Management,3,B-,Fall2023
HIS205,Modern History,3,C+,Fall2023
POL104,Political Science,3,B+,Fall2023
GEO205,Geography,3,A-,Fall2023
ENV107,Environmental Science,3,B-,Fall2023
BIO103,Biology I,3,A-,Fall2023
MIS107,Introduction to Computers,3,B+,Spring2024
BUS172,Introduction to Statistics,3,A-,Spring2024
MGT212,Principles of Management,3,B,Spring2024
MGT368,Entrepreneurship,3,B,Spring2024
MGT489,Strategic Management,3,A,Spring2024
ENG105,Advanced Composition,3,B,Spring2024
BUS135,Business Mathematics,3,B-,Spring2024
ACT202,Intro to Managerial Accounting,3,A,Spring2024
INB372,International Business,3,C-,Spring2024
ECO101,Intro to Microeconomics,3,C+,Spring2024
BUS251,Business Communication,3,C+,Spring2024
MGT351,Human Resource Management,3,B+,Spring2024
HIS103,History of South Asia,3,B,Spring2024
CHE101L,Chemistry I Lab,1,A,Spring2024
MKT337,Promotional Management,3,C+,Spring2024
MKT344,Consumer Behaviour,3,C,Spring2024
MKT460,Strategic Marketing,3,B-,Spring2024
MKT475,Marketing Analytics,3,B+,Spring2024
BUS498,Internship,4,A-,Spring2024
