course_code,course_name,credits,grade,semester
MGT314,Production Management,3,D,Fall2019
ENG103,Intermediate Composition,3,C-,Fall2019
BUS135,Business Mathematics,3,F,Summer2020
BUS173,Applied Statistics,3,F,Summer2020
INB372,International Business,3,F,Summer2020
ACT320,Intermediate Accounting II,3,D+,Summer2020
MGT314,Production Management,3,C+,Fall2020
MGT489,Strategic Management,3,D,Fall2020
BIO103L,Biology I Lab,1,D,Fall2020
ACT360,Advanced Managerial Accounting,3,C-,Fall2020
ACT201,Intro to Financial Accounting,3,F,Spring2021
PHI401,Ethics / Philosophy,3,F,Spring2021
ACT201,Intro to Financial Accounting,3,D,Summer2021
ECO104,Intro to Macroeconomics,3,D+,Summer2021
ENG105,Advanced Composition,3,D,Fall2021
LAW200,Legal Environment of Business,3,F,Fall2021
MGT368,Entrepreneurship,3,D,Fall2021
ACT310,Intermediate Accounting I,3,F,Fall2021
MGT489,Strategic Management,3,D,Spring2022
BUS135,Business Mathematics,3,B,Spring2022
MGT368,Entrepreneurship,3,D+,Fall2022
BUS173,Applied Statistics,3,C,Spring2024
