course_code,course_name,credits,grade,semester
LAW200,Legal Environment of Business,3,C-,Spring2022
MGT368,Entrepreneurship,3,B,Spring2022
MGT351,Human Resource Management,3,C,Spring2022
BUS135,Business Mathematics,3,W,Spring2022
MGT489,Strategic Management,3,D+,Spring2022
POL104,Political Science,3,B+,Spring2022
BIO103,Biology I,3,B,Spring2022
ACT310,Intermediate Accounting I,3,B-,Spring2022
ACT460,Advanced Financial Accounting,3,C+,Spring2022
MIS207,Management Information Systems,3,D,Summer2022
INB372,International Business,3,W,Summer2022
MKT202,Introduction to Marketing,3,B-,Summer2022
BUS172,Introduction to Statistics,3,B+,Summer2022
BUS173,Applied Statistics,3,D,Summer2022
ENV107,Environmental Science,3,B,Summer2022
ACT320,Intermediate Accounting II,3,D,Summer2022
