course_code,course_name,credits,grade,semester
EEE141,Electrical Circuits I,3,F,Fall2021
CSE332,Computer Organization & Architecture,3,C-,Fall2021
CSE225,Data Structures & Algorithms,3,B,Fall2021
CSE215L,Programming Language II Lab,1,D+,Fall2021
CSE425,Concepts of Programming Languages,3,B+,Fall2021
CSE311L,Database Management Systems Lab,1,B-,Fall2021
EEE141L,Electrical Circuits I Lab,1,A-,Fall2021
CSE331L,Microprocessor Interfacing Lab,1,B-,Fall2021
EEE111L,Analog Electronics I Lab,1,C,Spring2022
CSE373,Design & Analysis of Algorithms,3,C-,Spring2022
FIN254,Intro to Financial Management,3,B+,Summer2022
INB480,Global Business Strategy,3,C,Summer2022
ENG105,Advanced Composition,3,B+,Summer2022
MGT368,Entrepreneurship,3,B,Fall2022
HIS205,Modern History,3,A-,Fall2022
INB400,International Trade and Finance,3,D+,Fall2022
LAW200,Legal Environment of Business,3,A-,Fall2022
MIS207,Management Information Systems,3,B+,Spring2023
BUS173,Applied Statistics,3,D+,Spring2023
INB490,Cross-Cultural Management,3,B-,Spring2023
BUS172,Introduction to Statistics,3,C+,Spring2023
ECO104,Intro to Macroeconomics,3,F,Spring2023
BUS251,Business Communication,3,B,Spring2023
MKT417,Export-Import Management,3,A,Spring2023
ENG103,Intermediate Composition,3,A-,Summer2023
ECO101,Intro to Microeconomics,3,B+,Summer2023
INB372,International Business,3,B,Summer2023
ANT101,Anthropology,3,A-,Summer2023
