course_code,course_name,credits,grade,semester
ENG103,Intermediate Composition,3,B+,Fall2021
ACT202,Intro to Managerial Accounting,3,C+,Fall2021
MGT368,Entrepreneurship,3,B,Fall2021
HIS102,World Civilization,3,A,Fall2021
ACT310,Intermediate Accounting I,3,B+,Fall2021
BUS173,Applied Statistics,3,C+,Spring2022
GEO205,Geography,3,A,Summer2022
ECO104,Intro to Macroeconomics,3,B-,Fall2022
HIS103,History of South Asia,3,A-,Fall2022
BUS135,Business Mathematics,3,B-,Spring2023
INB372,International Business,3,B-,Spring2023
MGT351,Human Resource Management,3,B-,Spring2023
ACT410,Financial Statement Analysis,3,B+,Spring2023
BUS172,Introduction to Statistics,3,A,Summer2023
ECO101,Intro to Microeconomics,3,A,Summer2023
PBH101,Public Health,3,B-,Summer2023
PBH101L,Public Health Lab,1,B+,Summer2023
ACT320,Intermediate Accounting II,3,A-,Summer2023
ACT201,Intro to Financial Accounting,3,A-,Fall2023
MKT202,Introduction to Marketing,3,A,Fall2023
BUS251,Business Communication,3,A,Fall2023
MIS107,Introduction to Computers,3,C+,Fall2023
MGT314,Production Management,3,C-,Fall2023
LAW200,Legal Environment of Business,3,A,Fall2023
ENG115,English Literature,3,B+,Fall2023
MGT489,Strategic Management,3,B+,Spring2024
MIS207,Management Information Systems,3,A,Spring2024
PHI401,Ethics / Philosophy,3,B+,Spring2024
MGT212,Principles of Management,3,B,Spring2024
PHY107,Physics I,3,B+,Spring2024
ENV107,Environmental Science,3,B,Spring2024
ACT430,Accounting Information Systems,3,B+,Spring2024
PAD201,Public Administration,3,C+,Summer2024
ACT360,Advanced Managerial Accounting,3,A,Summer2024
BUS498,Internship,4,A-,Summer2024
