course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,C+,Summer2021
ENG105,Advanced Composition,3,W,Summer2021
ECO460,International Trade,3,D,Summer2021
PHI401,Ethics / Philosophy,3,A,Fall2021
MKT202,Introduction to Marketing,3,W,Fall2021
BUS172,Introduction to Statistics,3,A,Fall2021
ACT202,Intro to Managerial Accounting,3,W,Fall2021
BUS173,Applied Statistics,3,C+,Fall2021
CHE101,Chemistry I,3,C,Fall2021
ENV107L,Environmental Science Lab,1,W,Fall2021
ECO201,Intermediate Microeconomics,3,W,Fall2021
MGT212,Principles of Management,3,B+,Spring2022
MIS207,Management Information Systems,3,W,Spring2022
MGT368,Entrepreneurship,3,W,Spring2022
BUS251,Business Communication,3,W,Spring2022
FIN254,Intro to Financial Management,3,B+,Summer2022
MGT351,Human Resource Management,3,W,Summer2022
ECO104,Intro to Macroeconomics,3,C+,Summer2022
INB372,International Business,3,F,Summer2022
ENG103,Intermediate Composition,3,W,Summer2022
MGT489,Strategic Management,3,W,Summer2022
CHN101,Chinese Language,3,B,Summer2022
HIS103,History of South Asia,3,C+,Summer2022
ECO410,Development Economics,3,A,Summer2022
