course_code,course_name,credits,grade,semester
MKT202,Introduction to Marketing,3,C,Fall2021
PHI401,Ethics / Philosophy,3,C-,Fall2021
MKT344,Consumer Behaviour,3,W,Fall2021
ENG103,Intermediate Composition,3,F,Spring2022
MGT489,Strategic Management,3,W,Spring2022
BUS135,Business Mathematics,3,D,Spring2022
ECO101,Intro to Microeconomics,3,F,Spring2022
INB372,International Business,3,D,Summer2022
MIS207,Management Information Systems,3,W,Summer2022
MGT351,Human Resource Management,3,W,Summer2022
MKT460,Strategic Marketing,3,F,Summer2022
BUS135,Business Mathematics,3,D,Fall2022
ECO101,Intro to Microeconomics,3,C,Fall2022
CHE101,Chemistry I,3,W,Fall2022
ENG105,Advanced Composition,3,C,Spring2023
MGT314,Production Management,3,C-,Spring2023
ENG103,Intermediate Composition,3,D+,Summer2023
MIS107,Introduction to Computers,3,D+,Summer2023
ECO104,Intro to Macroeconomics,3,C,Summer2023
ACT202,Intro to Managerial Accounting,3,F,Summer2023
MKT337,Promotional Management,3,C,Summer2023
POL101,Intro to Political Science,3,F,Fall2023
PBH101,Public Health,3,C,Fall2023
BUS251,Business Communication,3,C,Spring2024
HIS103,History of South Asia,3,F,Spring2024
HIS102,World Civilization,3,W,Summer2024
BIO103,Biology I,3,C,Summer2024
