course_code,course_name,credits,grade,semester
MGT489,Strategic Management,3,B-,Fall2021
CHN101,Chinese Language,3,B,Fall2021
ECO328,Econometrics,3,B,Fall2021
PHI401,Ethics / Philosophy,3,C-,Spring2022
INB372,International Business,3,A,Summer2022
MGT314,Production Management,3,B-,Summer2022
MKT202,Introduction to Marketing,3,C+,Fall2022
ENV107L,Environmental Science Lab,1,C+,Fall2022
BUS172,Introduction to Statistics,3,C,Spring2023
HIS103,History of South Asia,3,A-,Spring2023
ECO348,Mathematical Economics,3,A,Spring2023
ACT201,Intro to Financial Accounting,3,B+,Summer2023
MIS107,Introduction to Computers,3,B,Summer2023
BUS135,Business Mathematics,3,A-,Summer2023
ACT202,Intro to Managerial Accounting,3,B-,Summer2023
ENV107,Environmental Science,3,C+,Summer2023
MGT368,Entrepreneurship,3,B-,Fall2023
HIS102,World Civilization,3,B+,Fall2023
ECO450,Game Theory,3,B+,Fall2023
LAW200,Legal Environment of Business,3,B+,Spring2024
ECO104,Intro to Macroeconomics,3,B+,Spring2024
ENG105,Advanced Composition,3,B,Spring2024
MGT212,Principles of Management,3,A-,Spring2024
MIS207,Management Information Systems,3,C,Spring2024
SOC101,Intro to Sociology,3,A,Spring2024
CHE101,Chemistry I,3,B-,Spring2024
ECO204,Intermediate Macroeconomics,3,B+,Spring2024
ENG103,Intermediate Composition,3,C+,Summer2024
BUS173,Applied Statistics,3,C+,Summer2024
BUS251,Business Communication,3,A-,Summer2024
MGT351,Human Resource Management,3,B-,Summer2024
POL104,Political Science,3,B+,Summer2024
PBH101,Public Health,3,B+,Summer2024
ECO201,Intermediate Microeconomics,3,C-,Summer2024
BUS498,Internship,4,B-,Summer2024
