course_code,course_name,credits,grade,semester
BUS251,Business Communication,3,C-,Summer2021
ENG105,Advanced Composition,3,F,Summer2021
MIS207,Management Information Systems,3,D,Summer2021
GEO205,Geography,3,F,Summer2021
CHE101,Chemistry I,3,D+,Summer2021
CHE101L,Chemistry I Lab,1,D+,Summer2021
MGT212,Principles of Management,3,C-,Fall2021
INB372,International Business,3,D,Fall2021
PHI401,Ethics / Philosophy,3,C-,Fall2021
MKT202,Introduction to Marketing,3,I,Fall2021
HIS102,World Civilization,3,F,Fall2021
PAD201,Public Administration,3,D+,Fall2021
ACT202,Intro to Managerial Accounting,3,D+,Spring2022
BUS135,Business Mathematics,3,C-,Spring2022
MKT202,Introduction to Marketing,3,C,Spring2022
MGT368,Entrepreneurship,3,D+,Spring2022
MGT351,Human Resource Management,3,I,Spring2022
BEN205,Bengali Literature,3,C-,Spring2022
BIO103,Biology I,3,F,Spring2022
INB400,International Trade and Finance,3,D,Spring2022
ENG103,Intermediate Composition,3,C-,Summer2022
FIN254,Intro to Financial Management,3,F,Summer2022
MIS207,Management Information Systems,3,C,Summer2022
MGT489,Strategic Management,3,F,Summer2022
ENG105,Advanced Composition,3,C,Fall2022
FIN254,Intro to Financial Management,3,D,Spring2024
MGT351,Human Resource Management,3,F,Fall2024
