course_code,course_name,credits,grade,semester
MAT116,Pre-Calculus,3,A-,Summer2019
ENG111,Public Speaking,3,C-,Summer2019
BIO103L,Biology I Lab,1,F,Summer2019
CSE115,Programming Language I,3,D,Spring2020
ENG103,Intermediate Composition,3,B,Summer2020
EEE452,Engineering Economics,3,C+,Summer2020
CSE225,Data Structures & Algorithms,3,C+,Fall2020
CSE332,Computer Organization & Architecture,3,C-,Fall2020
MAT250,Calculus III,3,B,Spring2021
MAT240,Probability & Statistics,3,C,Spring2021
EEE141L,Electrical Circuits I Lab,1,C,Spring2021
CSE331,Microprocessor Interfacing,3,D,Spring2021
CSE215L,Programming Language II Lab,1,C,Spring2021
CSE327,Software Engineering,3,D,Spring2021
CSE231,Digital Logic Design,3,B,Summer2021
CHE101,Chemistry I,3,D,Summer2021
MAT125,Linear Algebra,3,B,Summer2021
CSE173,Discrete Mathematics,3,D,Summer2021
CSE231L,Digital Logic Design Lab,1,B-,Summer2021
EEE111L,Analog Electronics I Lab,1,D+,Summer2021
PHY108,Physics II,3,B,Fall2021
EEE111,Analog Electronics I,3,D,Fall2021
BIO103L,Biology I Lab,1,B,Fall2021
ENG105,Advanced Composition,3,F,Fall2021
MAT130,Calculus II,3,C,Spring2022
CSE299,Junior Design Project,1,F,Spring2022
CSE331L,Microprocessor Interfacing Lab,1,F,Spring2022
POL104,Political Science,3,C,Spring2022
CSE323,Operating Systems Design,3,D,Summer2022
BIO103,Biology I,3,B-,Summer2022
CSE115L,Programming Language I Lab,1,C,Summer2022
CSE145,Introduction to Artificial Intelligence,3,C,Summer2022
ENG105,Advanced Composition,3,D,Summer2022
PHI104,Introduction to Ethics,3,C-,Summer2022
CSE115,Programming Language I,3,C,Summer2022
GEO205,Geography,3,C,Summer2022
CHE101,Chemistry I,3,B-,Fall2022
CSE331,Microprocessor Interfacing,3,D+,Spring2023
CSE327,Software Engineering,3,F,Summer2023
EEE111,Analog Electronics I,3,B,Summer2024
