course_code,course_name,credits,grade,semester
ACT202,Intro to Managerial Accounting,3,F,Fall2019
MGT351,Human Resource Management,3,W,Fall2019
PHI401,Ethics / Philosophy,3,D+,Fall2019
POL101,Intro to Political Science,3,C-,Fall2019
ECO201,Intermediate Microeconomics,3,C,Fall2019
ECO204,Intermediate Macroeconomics,3,W,Fall2019
MGT314,Production Management,3,C,Spring2020
ECO101,Intro to Microeconomics,3,F,Summer2020
MIS207,Management Information Systems,3,W,Summer2020
CHN101,Chinese Language,3,W,Summer2020
BIO103,Biology I,3,C,Summer2020
ACT201,Intro to Financial Accounting,3,F,Fall2020
LAW200,Legal Environment of Business,3,F,Spring2021
ENG105,Advanced Composition,3,W,Spring2021
CHE101,Chemistry I,3,C-,Spring2021
MKT202,Introduction to Marketing,3,D+,Summer2021
FIN254,Intro to Financial Management,3,D,Summer2021
MIS107,Introduction to Computers,3,F,Summer2021
ENV107L,Environmental Science Lab,1,C,Summer2021
BUS173,Applied Statistics,3,C,Fall2021
GEO205,Geography,3,D,Fall2021
ECO348,Mathematical Economics,3,W,Fall2021
ACT201,Intro to Financial Accounting,3,D,Spring2022
ACT202,Intro to Managerial Accounting,3,C+,Summer2022
FIN254,Intro to Financial Management,3,B,Fall2022
MIS107,Introduction to Computers,3,B,Summer2023
