course_code,course_name,credits,grade,semester
CSE311L,Database Management Systems Lab,1,D,Summer2022
CSE327,Software Engineering,3,B-,Summer2022
CSE225,Data Structures & Algorithms,3,B,Summer2022
CSE225L,Data Structures & Algorithms Lab,1,C-,Fall2022
CSE215L,Programming Language II Lab,1,B+,Fall2022
CSE425,Concepts of Programming Languages,3,C,Fall2022
CSE299,Junior Design Project,1,F,Fall2022
EEE111,Analog Electronics I,3,A-,Fall2022
ENG105,Advanced Composition,3,C,Spring2023
PHI401,Ethics / Philosophy,3,B+,Spring2023
FIN254,Intro to Financial Management,3,W,Spring2023
MKT337,Promotional Management,3,A-,Spring2023
BUS251,Business Communication,3,A,Summer2023
MKT460,Strategic Marketing,3,B-,Summer2023
MGT212,Principles of Management,3,D,Fall2023
HIS103,History of South Asia,3,W,Fall2023
BUS172,Introduction to Statistics,3,B,Fall2023
INB372,International Business,3,D+,Spring2024
ECO101,Intro to Microeconomics,3,F,Summer2024
MGT368,Entrepreneurship,3,C-,Summer2024
MIS107,Introduction to Computers,3,C-,Summer2024
MKT344,Consumer Behaviour,3,D+,Summer2024
ENV107,Environmental Science,3,A-,Fall2024
POL104,Political Science,3,D+,Fall2024
